MODELLO,LAYER,Cosine_AA_vs_AP,Cosine_AA_vs_PI,Cosine_AP_vs_PI
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,18,0.641782820224762,0.2014113962650299,0.2978894114494324
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.6367558240890503,0.2322952151298523,0.3267448544502258
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,20,0.6380510330200195,0.2269786745309829,0.3393121063709259
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,21,0.6296519637107849,0.2127051055431366,0.3342432975769043
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,22,0.5973149538040161,0.1731833964586258,0.3100834786891937
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,23,0.6073396801948547,0.1528025567531585,0.2795604467391968
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,24,0.6159669756889343,0.1647688597440719,0.269812673330307
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,25,0.6058180928230286,0.1399865448474884,0.2191654443740844
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,26,0.5782465934753418,0.1072175130248069,0.1762720495462417
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,27,0.3538501560688019,0.1548836827278137,0.0506933033466339
deepseek-ai/deepseek-coder-6.7b-instruct,0,0.6013109683990479,-0.0755352973937988,0.2338971048593521
deepseek-ai/deepseek-coder-6.7b-instruct,1,0.6069124341011047,-0.1173899099230766,0.1070412099361419
deepseek-ai/deepseek-coder-6.7b-instruct,2,0.6020854711532593,0.032489325851202,0.1883125156164169
deepseek-ai/deepseek-coder-6.7b-instruct,3,0.5025753974914551,0.0410881750285625,0.2763044536113739
deepseek-ai/deepseek-coder-6.7b-instruct,4,0.4756793975830078,0.0663796588778495,0.3259268999099731
deepseek-ai/deepseek-coder-6.7b-instruct,5,0.4618842601776123,0.1241302564740181,0.3261887729167938
deepseek-ai/deepseek-coder-6.7b-instruct,6,0.4595884978771209,0.1780247092247009,0.4823399484157562
deepseek-ai/deepseek-coder-6.7b-instruct,7,0.4893273413181305,0.1690667867660522,0.5065937042236328
deepseek-ai/deepseek-coder-6.7b-instruct,8,0.5061541199684143,0.2088091671466827,0.4173469245433807
deepseek-ai/deepseek-coder-6.7b-instruct,9,0.5695324540138245,0.2437503337860107,0.4353845417499542
deepseek-ai/deepseek-coder-6.7b-instruct,10,0.5776159763336182,0.2965717315673828,0.4312052428722381
deepseek-ai/deepseek-coder-6.7b-instruct,11,0.5574532151222229,0.2571272253990173,0.350141704082489
deepseek-ai/deepseek-coder-6.7b-instruct,12,0.5697504878044128,0.2103902399539947,0.3558590412139892
deepseek-ai/deepseek-coder-6.7b-instruct,13,0.5504699945449829,0.1561033427715301,0.3568293750286102
deepseek-ai/deepseek-coder-6.7b-instruct,14,0.5492104291915894,0.1526538431644439,0.3360836207866668
deepseek-ai/deepseek-coder-6.7b-instruct,15,0.5704880356788635,0.1342976540327072,0.3197178244590759
deepseek-ai/deepseek-coder-6.7b-instruct,16,0.6048460006713867,0.1383251994848251,0.3371413946151733
deepseek-ai/deepseek-coder-6.7b-instruct,17,0.6071876287460327,0.1892751455307006,0.3446588516235351
deepseek-ai/deepseek-coder-6.7b-instruct,18,0.6062308549880981,0.228536307811737,0.3492273688316345
deepseek-ai/deepseek-coder-6.7b-instruct,19,0.6067367196083069,0.2138832509517669,0.3195242285728454
deepseek-ai/deepseek-coder-6.7b-instruct,20,0.6290709972381592,0.1693572402000427,0.3045228123664856
