id_snippet,modello,layer_locus,cos_sim_stesso_layer,cos_sim_penultimo_layer
256,meta-llama/Llama-3.1-8B-Instruct,15,,-0.200439453125
257,meta-llama/Llama-3.1-8B-Instruct,15,,-0.193603515625
259,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2025146484375
260,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2113037109375
261,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2021484375
262,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2196044921875
263,meta-llama/Llama-3.1-8B-Instruct,15,,-0.16796875
264,meta-llama/Llama-3.1-8B-Instruct,15,,-0.205322265625
265,meta-llama/Llama-3.1-8B-Instruct,15,,-0.172607421875
267,meta-llama/Llama-3.1-8B-Instruct,15,,-0.188720703125
268,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2056884765625
269,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1839599609375
270,meta-llama/Llama-3.1-8B-Instruct,15,,-0.18310546875
271,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2010498046875
272,meta-llama/Llama-3.1-8B-Instruct,15,,-0.17724609375
273,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2037353515625
274,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2266845703125
275,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1864013671875
276,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1956787109375
277,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1715087890625
278,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2022705078125
279,meta-llama/Llama-3.1-8B-Instruct,15,,-0.177734375
280,meta-llama/Llama-3.1-8B-Instruct,15,,-0.201416015625
281,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1859130859375
282,meta-llama/Llama-3.1-8B-Instruct,15,,-0.208984375
283,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1954345703125
284,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2120361328125
285,meta-llama/Llama-3.1-8B-Instruct,15,,-0.192138671875
286,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1951904296875
287,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2127685546875
289,meta-llama/Llama-3.1-8B-Instruct,15,,-0.198974609375
