MODELLO,LAYER,Cosine_AA_vs_AP,Cosine_AA_vs_PI,Cosine_AP_vs_PI
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,24,0.5822048187255859,0.16678647696971893,0.3303697109222412
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,25,0.5927900075912476,0.18098905682563782,0.3232957124710083
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,26,0.5837811827659607,0.1592412143945694,0.27498194575309753
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,27,0.5607059001922607,0.13102945685386658,0.23754677176475525
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,28,0.417655885219574,0.229531928896904,0.09097380936145782
deepseek-ai/deepseek-coder-6.7b-instruct,0,0.0,0.0,0.0
deepseek-ai/deepseek-coder-6.7b-instruct,1,0.6007329225540161,-0.15055117011070251,0.2329689860343933
deepseek-ai/deepseek-coder-6.7b-instruct,2,0.5921715497970581,-0.09009600430727005,0.21007902920246124
deepseek-ai/deepseek-coder-6.7b-instruct,3,0.5473342537879944,0.07648466527462006,0.2787729799747467
deepseek-ai/deepseek-coder-6.7b-instruct,4,0.49039679765701294,0.1121952086687088,0.41104528307914734
deepseek-ai/deepseek-coder-6.7b-instruct,5,0.4096802771091461,0.08668655902147293,0.4099041223526001
deepseek-ai/deepseek-coder-6.7b-instruct,6,0.325182169675827,0.09948328882455826,0.418579638004303
deepseek-ai/deepseek-coder-6.7b-instruct,7,0.3720855712890625,0.05720052123069763,0.543211817741394
deepseek-ai/deepseek-coder-6.7b-instruct,8,0.3357850909233093,0.07963356375694275,0.5840640664100647
deepseek-ai/deepseek-coder-6.7b-instruct,9,0.3279324769973755,0.15477752685546875,0.5624660849571228
deepseek-ai/deepseek-coder-6.7b-instruct,10,0.37378251552581787,0.15865924954414368,0.5639256834983826
deepseek-ai/deepseek-coder-6.7b-instruct,11,0.4096996784210205,0.25684595108032227,0.5256905555725098
deepseek-ai/deepseek-coder-6.7b-instruct,12,0.403075248003006,0.29646533727645874,0.4558364450931549
deepseek-ai/deepseek-coder-6.7b-instruct,13,0.4061987102031708,0.28861096501350403,0.41265225410461426
deepseek-ai/deepseek-coder-6.7b-instruct,14,0.3652151823043823,0.2447787970304489,0.3884921669960022
deepseek-ai/deepseek-coder-6.7b-instruct,15,0.3540433943271637,0.24198876321315765,0.3958972692489624
deepseek-ai/deepseek-coder-6.7b-instruct,16,0.39733198285102844,0.27426156401634216,0.41047605872154236
deepseek-ai/deepseek-coder-6.7b-instruct,17,0.477353036403656,0.27619868516921997,0.41852864623069763
deepseek-ai/deepseek-coder-6.7b-instruct,18,0.5074763298034668,0.32949650287628174,0.43933433294296265
deepseek-ai/deepseek-coder-6.7b-instruct,19,0.5203409194946289,0.33060595393180847,0.45570775866508484
deepseek-ai/deepseek-coder-6.7b-instruct,20,0.5283492803573608,0.31052863597869873,0.4502248466014862
deepseek-ai/deepseek-coder-6.7b-instruct,21,0.538524866104126,0.32744231820106506,0.4225306510925293
deepseek-ai/deepseek-coder-6.7b-instruct,22,0.5317676663398743,0.31194671988487244,0.4017631411552429
deepseek-ai/deepseek-coder-6.7b-instruct,23,0.5386470556259155,0.3078937530517578,0.38347962498664856
deepseek-ai/deepseek-coder-6.7b-instruct,24,0.5551682710647583,0.28519147634506226,0.35811924934387207
deepseek-ai/deepseek-coder-6.7b-instruct,25,0.535512387752533,0.2655503749847412,0.3604508936405182
deepseek-ai/deepseek-coder-6.7b-instruct,26,0.5449321269989014,0.248346209526062,0.36793750524520874
