MODELLO,LAYER,Delta_AA,Delta_PI,Delta_AP,Base_AA,Base_PI,Base_AP
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,0.11802179917045263,-0.2270175729479107,0.0473159823501319,-1.3883760286414104,-1.5785553250994002,-1.5376728961342259
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,4,0.10011357846467384,-0.26700641087123334,0.07223577666700942,-1.2087010922639265,-1.392631094796317,-1.3856897186814694
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,5,0.31288938418678613,-0.19318847656250004,0.1501699079547012,-0.603307060573412,-1.0136090959821429,-0.9745727003666392
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,6,0.095947265625,-0.3975742885044643,0.2953202097039474,0.5595809273097826,0.351025390625,0.34058045504385964
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7,-0.12445665442425247,-0.6104925428118027,0.08292803847998931,2.628262063731318,2.497965294974191,2.4689569305955317
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,8,-0.2888895532359248,-0.6474898338317869,0.2070100181981136,2.7021930943364683,2.8478937557765414,2.725352454603764
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,9,-0.2674646792204485,-0.3528398786272322,-0.2191783168859649,1.4160567573879077,1.2889482770647323,1.2584126790364583
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,10,-0.13732047702955175,-0.28101174490792413,-0.39294165895696276,2.769625456436821,2.748475864955357,2.6482527883429277
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,0.0560252148172129,-0.039886147635324054,-0.5716426916289745,2.4539345451023267,2.2065586635044645,2.202629959374143
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,12,0.11924146569293459,0.0404512677873885,-0.34297126636170505,2.194572117017663,1.7650894165039062,1.7311248779296875
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,13,0.025830807893172825,-0.18635657174246645,-0.37305007482829855,2.1992509261421533,1.794348907470703,1.8097447177820039
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,-0.040556534476902106,-0.7045584542410714,-0.1877944678591008,1.293433147927989,0.9525076729910714,0.9575211374383223
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,15,0.299231487771739,-0.19472784314836777,0.050878156695449483,1.2962699558423914,1.0712927682059152,1.0370419150904606
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.5136420208474863,-0.07565623692103796,0.311051753529331,1.0993307362432065,0.80299072265625,0.810644317091557
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,17,0.27392578125000006,-0.44490656171526227,0.13601015325178178,0.3631644870923913,0.11189684186662946,0.1098279451069079
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,18,0.061228876528532594,-0.8795514787946429,0.1718962819952714,-0.25845204228940216,-0.25203857421875,-0.29178552460252194
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,-0.5446034307065217,-0.4542742047991071,0.041244774533991224,-0.6004373301630435,-0.6761648995535714,-0.6732327645285088
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,20,-0.9495587556258491,-0.8360050746372768,-0.7753800509268777,-0.4270971547002378,-0.12594691685267856,-0.08173986066851699
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,21,-0.9659264605978259,-1.286704799107143,-0.9320475260416667,-0.446097995923913,-0.04100516183035714,-0.09245219983552631
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,22,-1.122282608695652,-1.7522007533482142,-1.3589895148026316,1.1474609375,1.5553850446428572,1.5549273574561404
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,23,-5.4933338994565215,-10.507753208705358,-7.545684279057017,5.775687839673913,6.782882254464286,6.9604749177631575
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,24,-5.733950407608696,-11.475446428571429,-7.976356907894737,5.648862092391305,6.726785714285715,6.833675986842105
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,25,-5.761294157608695,-12.282282366071428,-7.721182839912281,6.217051630434782,7.399525669642857,7.512643914473684
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,26,-5.723505434782608,-12.217996651785715,-7.633566337719298,5.677224864130435,6.666964285714286,6.814761513157895
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,27,-4.8474864130434785,-11.079408482142856,-6.8996025219298245,4.6287364130434785,5.502120535714286,5.530222039473684
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,28,-4.2970448369565215,-7.688281249999999,-5.6274671052631575,5.868546195652174,6.789508928571428,6.847930372807017
deepseek-ai/deepseek-coder-6.7b-instruct,0,0.0,0.0,0.0,-0.69140625,-0.69140625,-0.69140625
deepseek-ai/deepseek-coder-6.7b-instruct,1,0.04458007812499998,0.04931640625,0.01236979166666663,-0.79697265625,-0.89599609375,-0.7467447916666666
