MODELLO,LAYER,Baseline_Vanilla (S_base - V_base),AA_Overshooting (S_AA - S_base),AA_Forza (S_AA - V_base),AA_Confine (S_AA - V_AA),PI_Overshooting (S_PI - S_base),PI_Forza (S_PI - V_base),PI_Confine (S_PI - V_PI),AP_Overshooting (S_AP - S_base),AP_Forza (S_AP - V_base),AP_Confine (S_AP - V_AP),Steering_Overshooting (S_Steering - S_base),Steering_Forza (S_Steering - V_base),Steering_Confine (S_Steering - V_Steering),AA (S_base - V_AA),AA (V_base - V_AA),PI (S_base - V_PI),PI (V_base - V_PI),AP (S_base - V_AP),AP (V_base - V_AP),Sbase-Vsteering (S_base - V_Steering),Steering_Overshooting (V_base - V_Steering)
meta-llama/Llama-3.1-8B-Instruct,17,1.201,2.088,1.634,0.9844,2.959,2.553,0.657,,,,3.082,4.21,0.7583,2.227,1.407,3.242,2.658,2.357,1.659,2.662,3.771
meta-llama/Llama-3.1-8B-Instruct,18,1.401,2.457,1.82,1.026,3.162,2.602,0.732,,,,3.443,4.73,0.8594,2.62,1.608,3.562,2.795,2.709,1.829,2.926,4.188
meta-llama/Llama-3.1-8B-Instruct,19,1.529,2.674,1.931,1.066,3.477,2.816,0.798,,,,3.775,5.17,0.9404,2.87,1.746,3.922,3.055,3.006,2.037,3.191,4.566
meta-llama/Llama-3.1-8B-Instruct,20,1.671,2.865,2.002,1.117,3.82,3.08,0.8843,,,,3.994,5.508,0.976,3.096,1.834,4.32,3.357,3.146,2.072,3.393,4.887
meta-llama/Llama-3.1-8B-Instruct,21,1.861,3.217,2.23,1.243,4.168,3.334,0.9893,,,,4.457,6.156,1.081,3.457,2.04,4.723,3.64,3.5,2.3,3.78,5.457
meta-llama/Llama-3.1-8B-Instruct,22,2.014,3.54,2.443,1.317,4.473,3.582,1.095,,,,4.77,6.6,1.178,3.764,2.229,5.074,3.904,3.723,2.47,4.04,5.85
meta-llama/Llama-3.1-8B-Instruct,23,2.273,4.008,2.688,1.421,4.914,3.812,1.256,,,,5.293,7.35,1.291,4.254,2.477,5.652,4.234,4.137,2.686,4.47,6.516
meta-llama/Llama-3.1-8B-Instruct,24,2.422,4.28,2.861,1.486,5.19,4.027,1.317,,,,5.625,7.81,1.395,4.535,2.639,5.953,4.453,4.355,2.842,4.742,6.914
meta-llama/Llama-3.1-8B-Instruct,25,2.67,4.72,3.148,1.608,5.613,4.348,1.455,,,,6.074,8.47,1.501,5.03,2.941,6.457,4.812,4.82,3.154,5.145,7.53
meta-llama/Llama-3.1-8B-Instruct,26,2.908,5.07,3.43,1.771,6.227,4.875,1.621,,,,6.46,9.03,1.603,5.41,3.178,7.164,5.406,5.273,3.537,5.5,8.055
meta-llama/Llama-3.1-8B-Instruct,27,3.201,5.51,3.729,1.963,7.01,5.61,1.78,,,,7.074,9.836,1.739,5.926,3.484,8.016,6.16,5.715,3.885,6.043,8.81
meta-llama/Llama-3.1-8B-Instruct,28,3.58,6.125,4.13,2.182,7.703,6.12,2.008,,,,7.805,10.89,1.927,6.61,3.879,8.83,6.727,6.344,4.35,6.684,9.766
meta-llama/Llama-3.1-8B-Instruct,29,3.928,6.723,4.637,2.438,8.36,6.68,2.225,,,,8.56,11.93,2.14,7.227,4.305,9.58,7.297,6.973,4.918,7.32,10.68
meta-llama/Llama-3.1-8B-Instruct,30,4.543,7.918,5.652,2.934,9.695,7.754,2.57,,,,9.87,13.72,2.469,8.44,5.168,11.086,8.45,8.15,5.86,8.46,12.305
meta-llama/Llama-3.1-8B-Instruct,31,14.29,24.67,18,9.66,29.64,23.53,7.69,,,,30,42.06,7.633,26.36,16.31,33.9,25.7,26.3,18.95,25.77,37.78
codellama/CodeLlama-7b-Instruct-hf,0,0.0692,0.147,0.1005,0.0781,0.1456,0.11414,,0.1766,0.1389,0.02673,0.0683,0.001637,0.0634,0.1816,0.1205,,,0.1886,0.1444,0.1192,0.06192
codellama/CodeLlama-7b-Instruct-hf,1,0.09937,0.2244,0.1567,0.1168,0.2263,0.193,,0.2896,0.237,0.04562,0.09753,0.00295,0.1039,0.263,0.1749,,,0.308,0.2477,0.1823,0.1012
codellama/CodeLlama-7b-Instruct-hf,2,0.1411,0.3071,0.212,0.1726,0.3296,0.2812,,0.4001,0.3323,0.0742,0.1385,0.00489,0.1823,0.3665,0.2474,,,0.4202,0.3413,0.2825,0.1776
codellama/CodeLlama-7b-Instruct-hf,3,0.2212,0.501,0.3584,0.314,0.6587,0.605,,0.707,0.618,0.1542,0.2156,0.01002,0.387,0.6035,0.4246,,,0.7554,0.6475,0.5396,0.3772
codellama/CodeLlama-7b-Instruct-hf,4,0.3716,0.952,0.78,0.6597,1.346,1.241,,1.568,1.471,0.26,0.361,0.01802,0.7,1.075,0.788,,,1.608,1.4795,0.9556,0.6826
codellama/CodeLlama-7b-Instruct-hf,5,0.511,1.275,1.052,0.8984,1.881,1.784,,2.088,1.966,0.3315,0.498,0.02556,0.9985,1.385,0.9893,,,2.145,1.984,1.316,0.973
codellama/CodeLlama-7b-Instruct-hf,6,0.58,1.528,1.264,1.045,2.191,2.078,,2.424,2.275,0.4048,0.564,0.03073,1.209,1.645,1.204,,,2.512,2.32,1.572,1.179
codellama/CodeLlama-7b-Instruct-hf,7,0.7295,2.1,1.715,1.249,3.107,2.916,,3.488,3.207,0.553,0.7046,0.0437,1.715,2.291,1.72,,,3.666,3.336,2.191,1.672
codellama/CodeLlama-7b-Instruct-hf,8,0.8726,2.629,2.115,1.548,3.55,3.299,,4.387,3.96,0.694,0.838,0.0553,2.186,3.035,2.33,,,4.633,4.156,2.783,2.13
codellama/CodeLlama-7b-Instruct-hf,9,1,3.066,2.48,1.865,4.176,3.863,,5.137,4.613,0.883,0.9565,0.06775,2.691,3.557,2.752,,,5.43,4.855,3.375,2.625
codellama/CodeLlama-7b-Instruct-hf,10,1.085,3.307,2.709,2.104,4.617,4.26,,5.46,4.92,0.9873,1.035,0.07623,3.01,3.85,2.982,,,5.797,5.2,3.746,2.934
codellama/CodeLlama-7b-Instruct-hf,11,1.307,3.781,3.068,2.57,5.715,5.293,,6.336,5.652,1.178,1.244,0.0993,3.934,4.555,3.506,,,6.68,5.934,4.805,3.834
codellama/CodeLlama-7b-Instruct-hf,12,1.456,4.254,3.467,2.963,6.684,6.227,,7.094,6.32,1.366,1.382,0.1204,4.76,5.15,3.996,,,7.39,6.555,5.688,4.645
codellama/CodeLlama-7b-Instruct-hf,13,1.619,4.605,3.922,3.51,7.938,7.59,,7.69,6.902,1.744,1.538,0.1465,5.824,5.62,4.387,,,7.92,7.05,6.75,5.676
codellama/CodeLlama-7b-Instruct-hf,14,1.909,5.953,5.29,5.074,11.52,11.305,,9.086,8.23,2.312,13.88,15.35,7.797,6.566,5.16,,,9.31,8.37,13.805,14.77
codellama/CodeLlama-7b-Instruct-hf,15,2.195,6.203,5.67,5.81,13.05,12.805,,10.766,9.76,2.709,14.8,16.33,8.85,7.066,5.527,,,11.016,9.91,14.484,15.41
codellama/CodeLlama-7b-Instruct-hf,16,2.348,6.574,5.99,6.11,14.1,13.86,,11.29,10.19,2.87,15.68,17.22,9.5,7.47,5.844,,,11.52,10.336,15.23,16.1
codellama/CodeLlama-7b-Instruct-hf,17,2.426,6.9,6.305,6.445,14.984,14.75,,11.73,10.59,3.08,16.28,17.83,9.9,7.66,6.023,,,11.914,10.7,15.67,16.55
codellama/CodeLlama-7b-Instruct-hf,18,2.627,7.84,7.125,7.344,17.23,16.92,,13.03,11.74,3.537,17.62,19.22,10.84,8.234,6.54,,,13.086,11.73,17.22,18.11
codellama/CodeLlama-7b-Instruct-hf,19,2.928,8.914,8.05,7.875,19.02,18.61,,14.65,13.164,3.824,18.95,20.64,11.875,9.17,7.277,,,14.79,13.234,18.39,19.23
codellama/CodeLlama-7b-Instruct-hf,20,3.219,9.67,8.734,8.51,20.62,20.16,,15.695,14.06,4.145,20.55,22.33,12.89,9.89,7.8,,,15.81,14.12,19.7,20.58
codellama/CodeLlama-7b-Instruct-hf,21,3.482,10.4,9.37,9.164,22.31,21.81,,17.12,15.375,4.49,22.22,24.16,14.1,10.64,8.36,,,17.23,15.41,21.22,22.16
